Project Name,Project Link,Parent Category,Category Name,Location,Currency,Goal Amount,Pledged Amount,Percent Funded,Duration,Days Left,Description Length,Risk Desc Count,Is Project We Love,Image Count,Video Count,Success
- DWARF COMPETITION -,https://www.kickstarter.com/projects/norsemyths/dwarf-competition?ref=discovery,Comics,Graphic Novels,UK,GBP,3000.0,8697.0,289,30,28,40,377,0,35,0,1
･ﾟ: *✧･ﾟ:* Storefront Ita Bag and Accessories･ﾟ: *✧･ﾟ:*,https://www.kickstarter.com/projects/naytendo/storefront-ita-bag-and-accessories?ref=discovery,Fashion,Apparel,USA,USD,1300.0,2246.0,172,30,22,113,360,0,44,2,1
'Here and There' An Expedition of Sorts by Jillian Edelstein,https://www.kickstarter.com/projects/gblimitededitions/here-and-there-an-expedition-of-sorts-by-jillian-edelstein?ref=discovery,Photography,Photobooks,UK,GBP,6000.0,6264.0,104,30,37,117,223,1,39,1,1
'Jimmy' Film Score Fundraiser,https://www.kickstarter.com/projects/yashyoucan/jimmy-film-score-fundraiser?ref=discovery,Film & Video,Narrative Film,USA,USD,12000.0,12735.0,106,30,14,119,148,1,10,4,1
'Journey' Tarot Deck for Empaths and Intuitives,https://www.kickstarter.com/projects/teagan/journey-tarot-deck-for-empaths-and-intuitives?ref=discovery,Art,Illustration,USA,USD,20000.0,4894.0,24,60,13,114,504,0,29,0,0
'SHARED NOT OWNED' THE ALBUM,https://www.kickstarter.com/projects/perplexedmusic/shared-not-owned?ref=discovery,none,Music,UK,GBP,23500.0,2501.0,10,43,10,85,227,0,13,2,0
"'Sing, Shimmy & Shake' a new album of family friendly tunes",https://www.kickstarter.com/projects/bbandthebeats/sing-shimmy-and-shake-a-new-album-of-family-friendly-tunes?ref=discovery,Music,Kids,UK,GBP,3000.0,551.0,18,30,12,134,1086,0,7,1,0
‘Benny’ The Budget Bear Extraordinaire,https://www.kickstarter.com/projects/taylorperri/benny-the-budget-bear-extraordinaire?ref=discovery,Publishing,Children's Books,USA,USD,2500.0,306.0,12,30,4,134,177,0,7,0,0
"""5,6,7,8… THE EDGE OF TANGO vol.2"" by SONICO",https://www.kickstarter.com/projects/sonicomania/5678-the-edge-of-tango-vol2-by-sonico?ref=discovery,Music,World Music,Belgium,EUR,4000.0,2271.0,56,45,37,115,236,1,10,1,0
"""Alebrijes!"" Immersive Art Car Experience",https://www.kickstarter.com/projects/alebrijes-art-car/alebrijes-immersive-art-car-experience?ref=discovery,Art,Public Art,DC,USD,35000.0,1301.0,3,45,40,73,626,0,18,0,0
"""As I Age"": A Collection of Poetry",https://www.kickstarter.com/projects/lsbcomics/as-i-age-a-collection-of-poetry?ref=discovery,Publishing,Poetry,USA,USD,1000.0,163.0,16,31,19,124,219,0,19,1,0
"""Basket of fruit"" of Caravaggio",https://www.kickstarter.com/projects/camyri-brightart/basket-of-fruit-of-caravaggio?ref=discovery,Art,Painting,Italy,EUR,350.0,17.0,4,45,13,110,1143,0,14,1,0
"""Goodnight Sword"" - A Medieval Fantasy Bedtime Story",https://www.kickstarter.com/projects/ravenkeep/goodnight-sword-book-with-rabbit-knight-and-page-plush-toys?ref=discovery,Publishing,Children's Books,USA,USD,250.0,1590.0,636,16,49,86,619,0,17,1,1
"""Guardians of the Baztan Valley"" - Retinue Set",https://www.kickstarter.com/projects/holycompany/the-valleys-guardian-retinue-kingdom-of-navarre?ref=discovery,Games,Tabletop Games,Spain,EUR,2000.0,2535.0,126,15,8,60,582,0,37,0,1
"""If Fish Can Talk""- An Animated Satire on Human Procrastion",https://www.kickstarter.com/projects/404621467/if-fish-can-talk-an-animated-satire-on-human-procrastion?ref=discovery,Comics,Comic Books,USA,USD,20000.0,71.0,0,60,33,114,625,0,26,1,0
"""Jusqu'au dernier pétale""",https://www.kickstarter.com/projects/jusquaudernierpetale/jusquau-dernier-petale?ref=discovery,Film & Video,Shorts,France,EUR,3900.0,1.0,0,60,45,117,282,0,7,0,0
"""Land of Danger"" issue #1",https://www.kickstarter.com/projects/lonecubproductions/land-of-danger-issue-1?ref=discovery,Comics,Comic Books,USA,USD,6500.0,6618.0,101,39,12,122,1078,1,11,0,1
"""Mia San Mia"" a Documentary film",https://www.kickstarter.com/projects/1180724391/mia-san-mia-a-documentary-film?ref=discovery,Film & Video,Documentary,Bosnia and Herzegovina,EUR,12300.0,61.0,0,60,30,132,238,0,10,1,0
"""My Healing Journey"" Book, AudioBook, and App",https://www.kickstarter.com/projects/208929444/my-healing-journey-book-audiobook-and-app?ref=discovery,none,Publishing,USA,USD,10000.0,11.0,0,28,7,71,92,0,7,1,0
"""Myrra"" - Tasos Kofodimos I Yvonne Melissa",https://www.kickstarter.com/projects/yvonnemelissa/myrra-tasos-kofodimos-i-yvonne-melissa?ref=discovery,Music,World Music,Greece,EUR,4500.0,1872.0,41,60,8,47,1019,0,7,1,0
"""Nohmad"" - Seulah Noh's Debut Full-Length Album",https://www.kickstarter.com/projects/snjo/nohmad-seulah-nohs-debut-full-length-album?ref=discovery,Music,Jazz,USA,USD,15000.0,9075.0,60,30,8,74,406,1,12,1,0
"""NuArtis"" Nude Art Magazine",https://www.kickstarter.com/projects/igrok/nuartis-magazine?ref=discovery,Photography,Fine Art,Poland,EUR,30000.0,1732.0,5,60,18,82,553,0,11,1,0
"""Revolution"" a Multi-Fuel Rotary Engine Generator",https://www.kickstarter.com/projects/paultownley/revolution-a-multi-fuel-rotary-engine-generator?ref=discovery,Technology,Hardware,UK,GBP,30000.0,6.0,0,30,29,29,792,0,30,1,0
"""RustBots - The Robot Building Card Game""",https://www.kickstarter.com/projects/rt60mangamingco/rustbots-a-robot-building-card-game?ref=discovery,Games,Tabletop Games,USA,USD,15000.0,15974.0,106,30,42,127,400,0,28,4,1
"""Sea Beasties: A Pirate's Guide"" illustrated book",https://www.kickstarter.com/projects/seabeastiesbook/sea-beasties-a-pirates-guide-illustrated-book?ref=discovery,Publishing,Art Books,USA,USD,2500.0,2692.0,107,30,22,117,607,1,22,0,1
"""SophitiCakedIt"" Startup Bakery in ATL",https://www.kickstarter.com/projects/sophisticakeditatl/sophiticakedit-startup-bakery-in-atl?ref=discovery,Food,Vegan,USA,USD,24000.0,631.0,2,60,9,79,945,0,14,0,0
"""Take Your Turn"" Ultra Violet Fever Vinyl Record",https://www.kickstarter.com/projects/ultravioletfever/take-your-turn-ultra-violet-fever-vinyl-record?ref=discovery,none,Music,USA,USD,7777.0,6306.0,81,30,14,74,383,0,16,0,0
"""TAKO KNOWS"" Picture Book",https://www.kickstarter.com/projects/naoshi/tako-knows-picture-book?ref=discovery,Publishing,Children's Books,USA,USD,6000.0,10196.0,169,32,14,118,1060,1,65,1,1
"""The Adventures of Ash and Hay"" Children's Books",https://www.kickstarter.com/projects/haleighrhaea/the-adventures-of-ash-and-hay-childrens-books?ref=discovery,Publishing,Children's Books,USA,USD,2000.0,241.0,12,50,36,122,593,0,11,0,0
"""The Fizzy Brain"" - a children's book about ADHD by Noah",https://www.kickstarter.com/projects/nocaminhoeuteexplico/the-fizzy-brain-by-noah?ref=discovery,Publishing,Children's Books,UK,GBP,8000.0,8402.0,105,32,17,125,290,0,10,1,1
"""The Hunted""",https://www.kickstarter.com/projects/thehuntedbeta/the-hunted-4?ref=discovery,Games,Video Games,Brazil,USD,25000.0,451.0,1,35,21,19,3514,0,12,1,0
"""The Ones Who Walk Away From Omelas"" by Ursula K. Le Guin",https://www.kickstarter.com/projects/noreplypress/the-ones-who-walk-away-from-omelas-by-ursula-k-le-guin?ref=discovery,Publishing,Letterpress,USA,USD,10000.0,30188.0,301,30,8,86,416,1,21,0,1
"""The Road to the End"" on the road!",https://www.kickstarter.com/projects/theroadtotheend/the-road-to-the-end-on-the-road?ref=discovery,Theater,Plays,DC,USD,400.0,386.0,96,30,29,114,570,0,11,1,0
"""wait for the ALL CLEAR""",https://www.kickstarter.com/projects/subgreyproductions/wait-for-the-all-clear?ref=discovery,Film & Video,Drama,UK,GBP,7000.0,37.0,0,60,4,57,392,0,16,1,0
“EGO” - An Independent Web Series,https://www.kickstarter.com/projects/ajbennett/ego-an-independent-web-series?ref=discovery,Film & Video,Webseries,USA,USD,10000.0,6.0,0,60,40,118,731,0,8,0,0
[SOLD OUT] Art Coin #02 | Generative Wabi-sabi,https://www.kickstarter.com/projects/selthar/art-coin-02-generative-wabi-sabi?ref=discovery,Design,Product Design,USA,USD,788.0,2352.0,298,15,6,121,459,0,23,1,1
[Soul Piece] Roblox Game Funding,https://www.kickstarter.com/projects/soulpiece/soul-piece-roblox-game-funding?ref=discovery,Games,Live Games,USA,USD,1000.0,26.0,2,60,24,62,597,0,7,0,0
「ZeroCooler」-Your Best Desktop Water Air Cooler&Humidifier,https://www.kickstarter.com/projects/zerocooler/zerocooler-your-best-desktop-water-air-coolerandhumidifier?ref=discovery,Technology,Gadgets,Hong Kong,HKD,20000.0,91193.0,455,35,18,50,348,0,61,1,1
~BLACK CLAW~ 15-IN-1 EDC KNIFE,https://www.kickstarter.com/projects/ahmetislemec/black-claw-15-in-1-edc-knife?ref=discovery,Design,Product Design,Turkey,AUD,1816.0,2164.32,119,30,18,110,898,0,28,1,1
╬ Moonbeam Axe ╬,https://www.kickstarter.com/projects/drogo/moonbeamaxe?ref=discovery,Design,Product Design,USA,USD,350.0,12187.0,3482,57,43,24,881,0,49,2,1
♡ Chubby Seals Collection ♡ - Hard enamel pins & stickers,https://www.kickstarter.com/projects/337247485/chubby-seals-collection-hard-enamel-pins-and-stickers?ref=discovery,none,Art,Spain,EUR,200.0,237.0,118,30,63,34,216,0,27,0,1
♥ Hana Saki Sailor BowKnot Bucket Bags ♥,https://www.kickstarter.com/projects/hanasaki/hana-saki-sailor-bowknot-bucket-bags?ref=discovery,Fashion,Accessories,Hong Kong,HKD,30000.0,4864.0,16,35,8,97,1151,0,32,1,0
✦ Wooden Musical Pin Collection ✦,https://www.kickstarter.com/projects/trailsofdaisies/wooden-musical-pin-collection?ref=discovery,Art,Mixed Media,UK,GBP,300.0,247.0,82,30,23,58,671,0,19,0,0
✦Mermaid Melody✦ Enamel pins,https://www.kickstarter.com/projects/minastarliart/mermaid-melody-enamel-pins?ref=discovery,Art,Illustration,Spain,EUR,750.0,388.0,51,30,11,44,591,0,27,0,0
✧Anime Pets- Enamel Pins ✧,https://www.kickstarter.com/projects/linarahe/anime-pets-enamel-pins?ref=discovery,Art,Illustration,Spain,EUR,600.0,1690.0,281,26,21,97,280,0,33,0,1
🌷🍄💅 Sassy Cottage Core Enamel Pins 💅🍄🌷,https://www.kickstarter.com/projects/studioeggface/sassy-cottage-core-enamel-pins?ref=discovery,Fashion,Accessories,USA,USD,1235.0,1678.0,135,30,25,116,1678,0,23,0,1
🌸Lotus Collective IV🪷,https://www.kickstarter.com/projects/inbodyoshunlove/lotus-collective-iv?ref=discovery,Art,Public Art,USA,USD,1225.0,1.0,0,30,18,129,405,0,10,1,0
🌸Matcha and Friends' Spring Picnic🌸,https://www.kickstarter.com/projects/mochigardens/matcha-and-friends-spring-picnic?ref=discovery,Crafts,Stationery,Singapore,SGD,350.0,3522.0,1006,28,38,59,886,0,30,0,1
🐼 🐼 Handpainted ORIGINAL Watercolor - COMIC PANDAS! 🎨,https://www.kickstarter.com/projects/make100-angelcomics/handpainted-original-watercolor-comic-pandas?ref=discovery,Art,Painting,Germany,EUR,100.0,1743.0,1743,30,65,119,484,0,27,1,1
💼 JobAce.Ai: Ai-Powered Resume & Cover Letter Builder 🤖,https://www.kickstarter.com/projects/devonianapps/jobaceai-ai-powered-resume-and-cover-letter-builder?ref=discovery,none,Technology,Canada,CAD,400.0,2084.29,521,30,10,131,187,0,50,1,1
🚀Uncharted Stars⭐,https://www.kickstarter.com/projects/tristam-rossin/uncharted-stars?ref=discovery,Games,Tabletop Games,UK,GBP,3000.0,7783.0,259,30,11,135,501,0,28,2,1
£1 to play! (5e) The Drowned Dragon,https://www.kickstarter.com/projects/limeshellgames/1-to-play-5e-the-drowned-dragon?ref=discovery,Games,Tabletop Games,UK,GBP,50.0,925.0,1850,27,10,121,62,0,10,1,1
10 years of The Peckham Peculiar,https://www.kickstarter.com/projects/peckhampeculiar/10-years-of-the-peckham-peculiar?ref=discovery,Journalism,Print,UK,GBP,5000.0,938.0,18,43,30,93,97,1,10,1,0
10 years of The Peckham Peculiar,https://www.kickstarter.com/projects/peckhampeculiar/10-years-of-the-peckham-peculiar?ref=discovery_category,Journalism,Print,UK,GBP,5000.0,938.0,18,43,30,93,97,1,10,1,0
100 Robots Artbook,https://www.kickstarter.com/projects/createdbyimrie/100-robots-artbook?ref=discovery,Art,Illustration,UK,GBP,2000.0,2461.0,123,35,22,111,112,0,14,0,1
100% Disabled Veteran Owned Business empowering Independents,https://www.kickstarter.com/projects/mkmusicllc/100-disabled-veteran-owned-business-empowering-independents?ref=discovery,Music,Rock,USA,USD,25000.0,1.0,0,60,53,88,907,0,13,1,0
100% Recycled Checkers Set,https://www.kickstarter.com/projects/1775857612/100-recycled-checkers-set?ref=discovery,Games,Tabletop Games,AU,AUD,1800.0,66.32,3,60,38,61,577,0,9,1,0
101 Steps To A Great Viva,https://www.kickstarter.com/projects/nathanryder/101-steps-to-a-great-viva?ref=discovery,Publishing,Zines,UK,GBP,101.0,141.0,139,15,16,40,450,0,10,1,1
18Rhl-Rhineland,https://www.kickstarter.com/projects/wj1/18rhl-rhineland?ref=discovery,Games,Tabletop Games,Germany,EUR,25000.0,25341.0,101,20,60,84,1395,0,30,0,1
1937: Writing tools crafted from WWII Battleship Decking.,https://www.kickstarter.com/projects/allegorypens/1937-writing-tools-crafted-from-wwii-battleship-decking?ref=discovery,Design,Product Design,USA,USD,5000.0,185694.0,3713,31,3,132,1247,1,48,1,1
1953 : Race For The Summit,https://www.kickstarter.com/projects/race-for-the-summit/1953-race-for-the-summit?ref=discovery,Theater,Festivals,USA,USD,3000.0,26.0,0,59,52,57,885,0,8,0,0
20 Minutes in Heaven,https://www.kickstarter.com/projects/rjn2244/20-minutes-in-heaven?ref=discovery,Film & Video,Shorts,AU,AUD,7000.0,4811.32,68,44,71,85,454,0,15,1,0
"20 Wondrous Walls - D&D, Pathfinder, & Tales of the Valiant",https://www.kickstarter.com/projects/matthewjhanson/20-wondrous-walls?ref=discovery,Games,Tabletop Games,USA,USD,500.0,1974.0,394,30,50,122,79,0,12,0,1
2023 Hellraiser Puzzle Box Series - 5 New Puzzle Boxes!,https://www.kickstarter.com/projects/rwgdesign/2023-hellraiser-puzzle-box-series-5-new-puzzle-boxes?ref=discovery,Games,Puzzles,USA,USD,500.0,2290.0,458,30,3,113,242,0,18,3,1
2023 RPG Dice Advent Calendars,https://www.kickstarter.com/projects/dicebound/2023-rpg-dice-advent-calendar?ref=discovery,Games,Tabletop Games,Canada,CAD,20000.0,35678.29,178,24,8,109,925,1,30,1,1
2024 Art Calendars by Erika Rae Heins,https://www.kickstarter.com/projects/erikaraeheins/2024-art-calendars-by-erika-rae-heins?ref=discovery,none,Art,USA,USD,1200.0,2267.0,188,22,65,48,74,0,12,0,1
2048 Ai,https://www.kickstarter.com/projects/weirclintonh/2048-ai?ref=discovery,Games,Mobile Games,USA,USD,25000.0,21.0,0,58,25,129,978,0,16,0,0
3-in-1 Magsafe Wireless PD Charger&Magnetic Car Mount,https://www.kickstarter.com/projects/118708730/pocket-3-in-1-magsafe-wireless-chargermagnetic-iphone-mount?ref=discovery,Technology,Gadgets,Hong Kong,HKD,10000.0,80275.0,802,40,18,132,1175,0,59,2,1
304 Monsters,https://www.kickstarter.com/projects/dictionarygame/304-monsters?ref=discovery,Publishing,Fiction,USA,USD,1000.0,1903.0,190,30,12,23,346,0,7,1,1
"3D Blu-ray Nightmare Castle 3D - Bluray Film, Barbara Steele",https://www.kickstarter.com/projects/dvstudios/3d-blu-ray-nightmare-castle-3d-featuring-barbara-steele?ref=discovery,Film & Video,Horror,UK,GBP,5000.0,7881.0,157,45,6,135,83,0,26,1,1
3D printable desert scenery of Undorian for your battlefield,https://www.kickstarter.com/projects/eslo/3d-printable-desert-scenery-of-undorian-for-your-battlefield?ref=discovery,Games,Tabletop Games,Germany,EUR,500.0,2339.0,467,30,6,84,372,0,56,0,1
4 Children for Sale,https://www.kickstarter.com/projects/1650909460/4-ninos-en-venta-4-children-for-sale-4-enfants-a-vendre?ref=discovery,Film & Video,Shorts,Spain,EUR,30000.0,61.0,0,35,33,97,931,0,10,1,0
490 Cards® Alpha Instantiation TCG Coin & Dice | No Trivia,https://www.kickstarter.com/projects/illbbax/490-cards-alpha-instantiation-tcg-coin-and-dice-no-trivia?ref=discovery,Games,Tabletop Games,USA,USD,10000.0,277.0,2,60,52,128,2203,0,13,1,0
4D Pack: triple your backpack & suitcase capacity!,https://www.kickstarter.com/projects/fitness-outdoor-mask/4d-pack-triple-your-backpack-suitcase-travel-capacity?ref=discovery,Design,Product Design,USA,USD,3500.0,284701.0,8134,29,61,126,315,0,55,1,1
4LIGHT BIKER LED-harness - For a safe motorcycle ride,https://www.kickstarter.com/projects/4light-biker/4light-biker-led-harness-for-a-safe-ride?ref=discovery,Technology,Wearables,Sweden,EUR,15000.0,801.0,5,30,53,61,478,0,24,2,0
55 66 88 by CW&T,https://www.kickstarter.com/projects/cwandt/55-66-88-by-cwandt?ref=discovery,Design,Product Design,USA,USD,8000.0,44452.0,555,31,10,65,679,1,35,1,1
6mm SciFi Terrain // Commercial Complex Expansion,https://www.kickstarter.com/projects/freelandartdesign/6mm-scifi-terrain-commercial-complex-expansion?ref=discovery,Games,Tabletop Games,USA,USD,500.0,3872.0,774,30,7,134,240,0,11,0,1
7 Deadly Sins,https://www.kickstarter.com/projects/7dscamiolses/7-deadly-sins-1?ref=discovery,Film & Video,Webseries,USA,USD,12000.0,251.0,2,25,6,129,957,0,34,1,0
9 Square (Portable),https://www.kickstarter.com/projects/davewahlquist/9-square-portable?ref=discovery,Games,Live Games,USA,USD,6000.0,12.0,0,30,8,121,185,0,13,0,0
9th Circle: a Diabolical 2-5p game of Take-That Area Control,https://www.kickstarter.com/projects/2120517320/9th-circle?ref=discovery,Games,Tabletop Games,USA,USD,3000.0,4725.0,157,17,64,106,1719,1,27,1,1
A Cat From Internet,https://www.kickstarter.com/projects/cathavestaff/a-cat-from-internet?ref=discovery,Fashion,Apparel,UK,GBP,100.0,1.0,1,60,57,105,368,0,37,0,0
A Day At The Dragon Shelter (Anthology),https://www.kickstarter.com/projects/wolfinmybeard/a-day-at-the-dragon-shelter?ref=discovery,Publishing,Fiction,USA,USD,2000.0,26333.5,1316,21,3,120,372,1,17,1,1
A Day at the Pond Pin Set,https://www.kickstarter.com/projects/veronicamichelle/a-day-at-the-pond-pin-set?ref=discovery,Art,Illustration,USA,USD,1000.0,1096.0,109,30,8,75,306,0,17,0,1
A Diabetes Testing Supply Caddy — the Diacad,https://www.kickstarter.com/projects/diacad/a-diabetes-supply-caddy-the-diacad?ref=discovery,Design,Product Design,USA,USD,12355.0,691.0,5,30,71,106,702,0,33,1,0
A Fusion Feast on Wheels,https://www.kickstarter.com/projects/sondiexpress/a-fusion-feast-on-wheels?ref=discovery,Food,Food Trucks,USA,USD,1000.0,31.0,3,40,34,122,1377,0,37,1,0
A Gift of Kindness: The Flower Garden Magnet Project,https://www.kickstarter.com/projects/payitforwardwithme/a-gift-of-kindness-the-flower-garden-magnet-project?ref=discovery,Art,Sculpture,USA,USD,2500.0,2526.0,101,45,3,96,643,0,12,0,1
A Guide: 25 Tips for Survival in a Pandemic,https://www.kickstarter.com/projects/kelleysimons/a-guide-25-tips-for-surviving-a-pandemic?ref=discovery,Art,Illustration,USA,USD,2500.0,3293.0,131,30,8,48,921,1,42,1,1
A Leather Belt Customized for You - Swedish Craftsmanship,https://www.kickstarter.com/projects/fredfloris/swedish-craftsmanship-fredfloris-custom-leather-belts?ref=discovery,Fashion,Accessories,Sweden,EUR,5000.0,4442.0,88,60,23,117,1750,0,45,1,0
A Lotl of Axolotls Enamel Pins,https://www.kickstarter.com/projects/captsassmcgee/a-lotl-of-axolotls-enamel-pins?ref=discovery,Fashion,Accessories,USA,USD,275.0,563.0,204,30,28,52,0,0,7,0,1
A New Album by Carrie Welling,https://www.kickstarter.com/projects/carriewelling/a-new-album-by-carrie-welling?ref=discovery,Music,Country & Folk,USA,USD,30000.0,11908.0,39,30,24,29,390,1,18,1,0
A new edition of Amy Peterson's memoir Dangerous Territory,https://www.kickstarter.com/projects/bracketpublishing/a-new-edition-of-amy-petersons-memoir-dangerous-territory?ref=discovery,Publishing,Nonfiction,USA,USD,1000.0,1578.0,157,30,8,89,867,0,30,1,1
A NORTHBOUND VAGABOND,https://www.kickstarter.com/projects/perrywinters/a-northbound-vagabond?ref=discovery,Photography,Photobooks,USA,USD,20000.0,3141.0,15,30,19,49,1825,0,16,0,0
A Notebook of Love My Story on Mental Health - Audio Book,https://www.kickstarter.com/projects/anotebookoflove/a-notebook-of-love-my-story-on-mental-health-audio-book?ref=discovery,Publishing,Nonfiction,USA,USD,25000.0,231.0,0,60,45,134,279,0,11,1,0
A Parent's Promise,https://www.kickstarter.com/projects/thenurts/a-parents-promise?ref=discovery,Publishing,Children's Books,Malaysia,SGD,1330.0,538.0,40,30,4,108,706,0,20,2,0
A Ski Slope at Burning Man!,https://www.kickstarter.com/projects/majortrouble/a-ski-slope-at-burning-man?ref=discovery,Art,Public Art,USA,USD,35000.0,8475.55,24,30,56,72,268,0,29,1,0
A Storm of Blood & Steel,https://www.kickstarter.com/projects/asobas/a-storm-of-blood-and-steel?ref=discovery,Publishing,Fiction,USA,USD,1500.0,1386.0,92,30,13,108,70,0,24,0,0
A story film of how human beings are able to survive.,https://www.kickstarter.com/projects/inrayofthelight/short-produced-through-unreal-engine-5?ref=discovery,Film & Video,Thrillers,USA,USD,3900.0,76.0,1,60,10,63,347,0,24,1,0
A student film on war in Ukraine,https://www.kickstarter.com/projects/thegeourge/a-student-film-on-war-in-ukraine?ref=discovery,Film & Video,Drama,Ukraine,CAD,2500.0,2587.29,103,33,20,102,274,0,7,1,1
A Sweeter Hello: male and female service member versions,https://www.kickstarter.com/projects/erinwinters/a-sweeter-hello-male-and-female-service-member-versions?ref=discovery,Publishing,Children's Books,USA,USD,5000.0,1254.0,25,21,26,45,941,1,33,1,0
A Tale of Two Titties: A comedy show about breast cancer,https://www.kickstarter.com/projects/juliajohns/a-tale-of-two-titties-a-comedy-show-about-breast-cancer?ref=discovery,Theater,Comedy,USA,USD,6000.0,3255.0,54,30,14,57,535,0,12,0,0
A UK start-up on a mission to end the music industry crisis!,https://www.kickstarter.com/projects/cspacebrown/a-uk-start-up-on-a-mission-to-end-the-music-industry-crisis?ref=discovery,Technology,Software,UK,GBP,20000.0,901.0,4,33,31,122,636,0,8,0,0
A Woven Year: Art Show and Book Publication,https://www.kickstarter.com/projects/awovenyear/a-woven-year-art-show-and-book-publication?ref=discovery,Art,Textiles,USA,USD,15000.0,3314.0,22,30,23,134,1057,0,27,1,0
A-to-Z Crosswords 2023,https://www.kickstarter.com/projects/petergordonpuzzler/a-to-z-crosswords-2023?ref=discovery,Games,Puzzles,USA,USD,5000.0,3797.0,75,25,5,22,237,0,11,3,0
A.D.G: first full length album and reunion of our band!,https://www.kickstarter.com/projects/anotherdayofglory/adg-first-full-length-album-and-reunion-of-our-band?ref=discovery,Music,Punk,USA,USD,5000.0,257.0,5,60,67,130,1457,0,19,3,0
A.I.Rising,https://www.kickstarter.com/projects/okjoy/airising-0?ref=discovery,Games,Video Games,Hong Kong,HKD,10000.0,3459.0,34,40,33,44,744,0,17,1,0
A6 ear clip design magnetic Bluetooth sports headset,https://www.kickstarter.com/projects/1320384301/a6-ear-clip-design-magnetic-bluetooth-sports-headset?ref=discovery,Technology,Wearables,Hong Kong,HKD,10000.0,109442.0,1094,40,24,133,734,0,72,1,1
Aaron Miller's 5E Ready Reference Stat Cards,https://www.kickstarter.com/projects/aaronbmiller/aaron-millers-5e-ready-reference-stat-cards?ref=discovery,Games,Tabletop Games,USA,USD,2500.0,9783.0,391,29,33,135,310,0,37,1,1
About Turn!,https://www.kickstarter.com/projects/sproutandgherkin/about-turn?ref=discovery,Games,Playing Cards,UK,GBP,500.0,1078.0,215,30,62,109,448,0,18,1,1
Absent In Beauty - women's footwear brand,https://www.kickstarter.com/projects/287285524/absent-in-beauty-womens-footwear-brand?ref=discovery,Fashion,Footwear,AU,AUD,21500.0,1646.32,7,60,30,125,272,0,13,1,0
Abuelita's Coffee,https://www.kickstarter.com/projects/abuelitascoffee/abuelitas-coffee?ref=discovery,Food,Drinks,USA,USD,10000.0,25.0,0,60,38,121,2258,0,9,0,0
Acclivity - Optimized for League of Legends,https://www.kickstarter.com/projects/brunocamargo/acclivity-optimized-for-league-of-legends?ref=discovery,Technology,Apps,USA,USD,700.0,1.0,0,30,35,61,285,0,10,1,0
ACREAGE: the Wild SciFi Adventure Continues,https://www.kickstarter.com/projects/phoenixward/acreage-the-wild-scifi-adventure-continues?ref=discovery,Publishing,Fiction,USA,USD,500.0,274.0,54,21,11,125,211,0,12,0,0
Acrylicglass Canvas digital art murals by LuminaX.art Vol.1,https://www.kickstarter.com/projects/luminax-art/acrylicglass-canvas-digital-art-murals-by-luminaxart-vol1?ref=discovery,Crafts,Printing,Germany,EUR,650.0,81.0,12,30,28,122,1458,0,22,1,0
Action Sandwiches Food Truck,https://www.kickstarter.com/projects/actionsandwiches2023/action-sandwiches-food-truck?ref=discovery,none,Food,USA,USD,15000.0,2561.0,17,60,24,40,410,0,12,0,0
Action! System 2.0,https://www.kickstarter.com/projects/neonnecromancergames/action-system-20?ref=discovery,Games,Tabletop Games,USA,USD,7500.0,882.0,11,30,22,132,1496,0,16,1,0
Adam : Hanging Gardens Of Babylon,https://www.kickstarter.com/projects/alialgawwam/adam-hanging-gardens-of-babylon?ref=discovery,Games,Mobile Games,USA,USD,24000.0,1090.0,4,20,6,111,840,0,24,2,0
Adaptable Makeup Sponge Attachment For Concealer Bottles,https://www.kickstarter.com/projects/alanaesoterica/reusable-blending-tip-for-your-concealer-wands-beautiebud?ref=discovery,Fashion,Accessories,USA,USD,15000.0,1.0,0,60,51,95,1300,0,31,5,0
Adrian's Undead Diary - Complete hardcover collection & dice,https://www.kickstarter.com/projects/philbrookauthor/adrians-undead-diary-complete-hardcover-collection?ref=discovery,Publishing,Fiction,USA,USD,6500.0,19922.0,306,30,15,135,702,0,59,1,1
Advanced ergonomic seating,https://www.kickstarter.com/projects/1166328183/advanced-ergonomic-seating?ref=discovery,none,Crafts,USA,USD,1200.0,4936.0,411,20,12,112,406,0,29,0,1
Adventure Paper Tower Dragon,https://www.kickstarter.com/projects/lokatis/adventure-paper-tower-dragon?ref=discovery,Games,Tabletop Games,Italy,EUR,50.0,57.0,113,20,11,10,1382,0,31,1,1
"Adventures for Everyone, Everywhere.",https://www.kickstarter.com/projects/deadchannelstudios/adventures-for-everyone-everywhere?ref=discovery,Games,Tabletop Games,UK,GBP,1000.0,1476.0,147,28,23,124,124,0,20,0,1
AdWidget: Earn Rewards from Your Home Screen,https://www.kickstarter.com/projects/adwidget/adwidget-earn-rewards-from-your-home-screen?ref=discovery,Technology,Apps,Germany,EUR,25000.0,201.0,0,60,59,99,1882,0,7,1,0
Aether Nexus: Fantasy Mecha TTRPG,https://www.kickstarter.com/projects/absolutetabletop/aether-nexus-fantasy-mecha-ttrpg?ref=discovery,Games,Tabletop Games,USA,USD,18000.0,13710.0,76,31,30,127,1216,0,25,1,0
Aetheria Chronicles: Prologue - 3D Printable Pre-Supported!,https://www.kickstarter.com/projects/1318205580/aetheria-chronicles-prologue-heroes-call?ref=discovery,Games,Tabletop Games,USA,USD,400.0,3321.0,830,20,12,132,764,0,24,0,1
